11/08/2019 01:14:13 a.m. Estoy intentantdo guardar un usuario nulo de nombre: 
11/08/2019 02:37:40 p.m. 125) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 126) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 127) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 128) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 129) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 130) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 131) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 132) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 133) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 134) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 135) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 136) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 137) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 138) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 139) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 140) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 141) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 142) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 143) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 144) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 145) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 146) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 147) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 148) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 149) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 150) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 151) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 152) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 153) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 154) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 155) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 156) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 157) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 158) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 159) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 160) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 161) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 162) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 163) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 164) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 165) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 166) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 167) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 168) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 169) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 170) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 171) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 172) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 173) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 174) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 175) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 176) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 177) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 178) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 179) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 180) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 181) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 182) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 183) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 184) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 185) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 186) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 187) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 188) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 189) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 190) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 191) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 192) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 193) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 194) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 195) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 196) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 197) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 198) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 199) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 200) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 201) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 202) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 203) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 204) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 205) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 206) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 207) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 208) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 209) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 210) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 211) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 212) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 213) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 214) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 215) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 216) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 217) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 218) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 219) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 220) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 221) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 222) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 223) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 224) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 225) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 226) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 227) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 228) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 229) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 230) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 231) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 232) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 233) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 234) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 235) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 236) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 237) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 238) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 239) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 240) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 241) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 242) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 243) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 244) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 245) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 246) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 247) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 248) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 249) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 250) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 251) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 252) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 253) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 254) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 255) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 256) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 257) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 258) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 259) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 260) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 261) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 262) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 263) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 264) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 265) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 266) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 267) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 268) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 269) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 270) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 271) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 272) ConnID: -1. ConnidValida: False Name:  UserLogged: False
